FID,hub_name,period,latitude,longitude,x,y,mv_symbol
1,Chicago Citygate,202002,41.7934361818,-87.9509282628,-9790652.54903289,5130087.23237635,#NIMCHICD
2,Waha,202002,31.5819732588,-103.189521718,-11487005.0128492,3708562.34074353,#NIWWAHAD
3,Katy,202002,29.750094818,-95.786092891,-10662859.0857033,3471467.13939157,#NIEKATYD
4,Dominion South,202002,40.4314455623,-79.6547956576,-8867131.29189081,4928838.28356551,#NINDOMND
5,PG&E Citygate,202002,38.404894966,-121.913986787,-13571402.9297067,4636782.85458888,#NICPGECD
6,Sumas,202002,49.000494299,-122.219984774,-13605466.4698033,6274945.26662109,#NIRNWSUD
7,Cheyenne,202002,40.940693404,-104.79598979,-11665836.2205999,5003597.88612801,#NIRCHEYD
8,Malin,202002,42.033794638,-121.37198636,-13511067.7181633,5166043.06194081,#NICMALND
9,Henry Hub,202002,29.895494663,-92.063093854,-10248416.7286806,3490123.71745558,#NILHHUBD
10,Kern River Opal,202002,41.8367436739,-110.223184396,-12269988.7604645,5136555.72221224,#NIROPALD
11,El Paso Permian,202002,31.9610749569,-103.129344009,-11480306.0610375,3758202.19421865,#NIWELPPD
12,SoCal Border,202002,34.6909168697,-114.599678812,-12757177.8904245,4121956.90823806,#NICSAVGD
13,SoCal Citygate,202002,34.0489226583,-117.443841313,-13073788.6116579,4035373.03704015,#NICSCGTD
14,Ventura,202002,43.1847784838,-93.4968330768,-10408019.8489153,5340139.44144092,#NIOVENTAD
16,Transco Zone 5 Delivered,202002,38.2970368097,-77.9539308252,-8677791.88477307,4621472.55106314,#NINTZN5D
17,Transco Zone 4,202002,32.0721735693,-88.3788671754,-9838290.49091868,3772788.26265864,#NIAST85D
18,Transco Zone 3,202002,30.9878140391,-90.7092423775,-10097706.6716513,3631166.66548164,#NILST65D
19,Transco Zone 6 non-NY,202002,40.3155431536,-74.7762026768,-8324048.80534694,4911902.65994179,#NINTZ6ND
20,Transco Zone 6 NY,202002,40.6924592569,-74.1524500979,-8254612.98598299,4967084.7594353,#NINTZ6YD
21,Columbia Gas Appalachia,202002,39.8978991256,-80.1930059354,-8927044.58586616,4851116.33255795,#NINCOGAD
22,NGPL Texok zone,202002,33.116534091,-94.2033229871,-10486665.9459471,3910782.14986696,#NIENGPLD
23,NGPL Midcontinent,202002,37.5860701365,-99.9332808651,-11124521.939193,4521115.30723965,#NIDNDPMD
24,Texas Eastern M-2 (Receipts),202002,39.8767865321,-81.069178566,-9024579.67699608,4848053.35548387,#NINTE3RD
26,MichCon,202002,42.1444715125,-83.3768831871,-9281472.18030709,5182645.202852,#NIMMICHD
27,Algonquin Citygate,202002,42.3042679484,-71.0873265081,-7913404.98872573,5206666.83815284,#NINAGCGD
28,Northern Natural Demarc,202002,39.5314213619,-97.2620816888,-10827165.4071133,4798081.53064242,#NIDMARKD
29,Columbia Gulf Mainline,202002,32.6495840308,-91.300613166,-10163537.7667528,3848883.93802689,#NILCOGMD
30,Rockies Express Pipeline Zone 3,202002,39.8055213151,-87.5377646852,-9744659.3899156,4837721.28262546,#NIOTH3DELD
31,Tennessee Gas Zone 4 Marcellus,202002,41.7288047426,-76.4051472244,-8505382.08296078,5120441.87945568,#NINTZ4MF
32,Agua Dulce,202002,27.7488987587,-97.6254036216,-10867610.2195775,3217352.39515406,#NISAGUAD
